Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	clockRate	popSize	CoalescentConstant	proportionInvariant	
599	-11608.39166386548	-11476.752126891472	-131.6395369740083	-11476.752126891472	90.58793232596653	547.4084952737796	0.30878611379659465	0.19236639239808434	0.25419326370362055	0.24465423010170043	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	107.83318351739733	-103.22899148406897	0.8322331399742489	
600	-11596.918861853994	-11476.727847906168	-120.19101394782543	-11476.727847906168	60.67230566015424	360.58653059464956	0.301436181200956	0.20607596370063136	0.24393966238859	0.24854819270982262	0.08722840086182415	2.302203642718469	0.26795291797096854	0.08722840086182415	2.9874337196159453	0.26795291797096854	1.9108804272398742E-4	51.86504608727025	-94.40012221058497	0.8322331399742489	
601	-11596.918861853994	-11476.727847906168	-120.19101394782543	-11476.727847906168	60.67230566015424	360.58653059464956	0.301436181200956	0.20607596370063136	0.24393966238859	0.24854819270982262	0.08722840086182415	2.302203642718469	0.26795291797096854	0.08722840086182415	2.9874337196159453	0.26795291797096854	1.9108804272398742E-4	51.86504608727025	-94.40012221058497	0.8322331399742489	
602	-11596.918861853994	-11476.727847906168	-120.19101394782543	-11476.727847906168	60.67230566015424	360.58653059464956	0.301436181200956	0.20607596370063136	0.24393966238859	0.24854819270982262	0.08722840086182415	2.302203642718469	0.26795291797096854	0.08722840086182415	2.9874337196159453	0.26795291797096854	1.9108804272398742E-4	51.86504608727025	-94.40012221058497	0.8322331399742489	
603	-11601.51734846961	-11476.7183760175	-124.79897245211073	-11476.7183760175	72.07263434447444	438.60688328450937	0.30524797557279765	0.1994351022496424	0.24709149830150487	0.24822542387605506	0.12563577841920653	2.1901827009781245	0.26991670210449614	0.12563577841920653	3.018712337974469	0.26991670210449614	1.6435771227925683E-4	63.82444695937826	-98.02176859428297	0.7374185817667761	
604	-11604.498952314532	-11476.716362105652	-127.78259020887988	-11476.716362105652	77.14766677259101	452.8694999681981	0.307309072535839	0.19913158871468634	0.25271039557214203	0.24084894317733263	0.11037722796951843	2.129765906855417	0.3914627019626277	0.11037722796951843	2.86655423328029	0.3914627019626277	1.6435771227925683E-4	101.76188538174885	-100.53888702203956	0.7374185817667761	
605	-11598.414774833853	-11476.700236464643	-121.71453836920881	-11476.700236464643	62.013066683196115	381.61229348943743	0.3089099994338534	0.2025591969504854	0.2488599334849646	0.2396708701306965	0.10681758507034192	2.1751327197162404	0.23582595705758164	0.10681758507034192	3.1395801960279113	0.23582595705758164	1.8713547909804805E-4	59.57178370651321	-95.67795082455612	0.8322331399742489	
606	-11598.414774833853	-11476.700236464643	-121.71453836920881	-11476.700236464643	62.013066683196115	381.61229348943743	0.3089099994338534	0.2025591969504854	0.2488599334849646	0.2396708701306965	0.10681758507034192	2.1751327197162404	0.23582595705758164	0.10681758507034192	3.1395801960279113	0.23582595705758164	1.8713547909804805E-4	59.57178370651321	-95.67795082455612	0.8322331399742489	
607	-11601.005721034708	-11476.686425307878	-124.31929572682965	-11476.686425307878	68.95552645589922	409.15781783925286	0.30524797557279765	0.1994351022496424	0.2505417116196946	0.24477521055786539	0.06006205983740533	2.292874598058597	0.33549042068629736	0.06006205983740533	2.9160204408939965	0.33549042068629736	1.6435771227925683E-4	77.69413541055314	-97.34544838995556	0.7374185817667761	
608	-11601.005721034708	-11476.686425307878	-124.31929572682965	-11476.686425307878	68.95552645589922	409.15781783925286	0.30524797557279765	0.1994351022496424	0.2505417116196946	0.24477521055786539	0.06006205983740533	2.292874598058597	0.33549042068629736	0.06006205983740533	2.9160204408939965	0.33549042068629736	1.6435771227925683E-4	77.69413541055314	-97.34544838995556	0.7374185817667761	
