Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
30	-6259.286367471853	-6331.983855191703	72.69748771985	-6331.983855191703	0.8244652957521714	3.391493891179216	0.7137483348239135	0.2617831465952615	0.2033761914653996	0.2725378402294483	0.2623028217098907	0.5009966838984921	2.386703522343674	0.5009966838984921	0.11229979375783294	2.386703522343674	0.11229979375783294	0.0	0.033925264824431985	0.030085368653220028	9.97049850741343E-7	0.03292802637840985	0.0303751319738937	0.39968626538763563	-5.971243871947525	
31	-6259.286367471853	-6331.983855191703	72.69748771985	-6331.983855191703	0.8244652957521714	3.391493891179216	0.7137483348239135	0.2617831465952615	0.2033761914653996	0.2725378402294483	0.2623028217098907	0.5009966838984921	2.386703522343674	0.5009966838984921	0.11229979375783294	2.386703522343674	0.11229979375783294	0.0	0.033925264824431985	0.030085368653220028	9.97049850741343E-7	0.03292802637840985	0.0303751319738937	0.39968626538763563	-5.971243871947525	
32	-6345.6309575944615	-6331.982061201512	-13.6488963929493	-6331.982061201512	0.27329574160766784	0.978161243066954	0.5500135683269924	0.2600648489985508	0.1989903846545121	0.29951825523841297	0.2414265111085242	0.42358103858630247	2.514337324008965	0.42358103858630247	0.06208163740473224	2.514337324008965	0.06208163740473224	0.0	0.4622086584824566	0.09206489340485467	0.002721775052668525	0.5450273007636196	0.08669711196452096	0.21782762966970715	17.831190179126317	
33	-6212.6799203935225	-6331.953015659406	119.2730952658841	-6331.953015659406	0.21111854761972249	0.8500555631437606	0.27367777566921464	0.2482700357098473	0.19491846547973374	0.2893816120733774	0.26742988673704166	0.43498202962888827	2.4653463205981425	0.43498202962888827	0.09967164977296902	2.4653463205981425	0.09967164977296902	0.0	0.015027670372943166	0.10345903898457227	3.224683561334655E-6	0.01754601063450464	0.10164519932770714	0.16624525397804316	21.102652646468076	
34	-6212.6799203935225	-6331.953015659406	119.2730952658841	-6331.953015659406	0.21111854761972249	0.8500555631437606	0.27367777566921464	0.2482700357098473	0.19491846547973374	0.2893816120733774	0.26742988673704166	0.43498202962888827	2.4653463205981425	0.43498202962888827	0.09967164977296902	2.4653463205981425	0.09967164977296902	0.0	0.015027670372943166	0.10345903898457227	3.224683561334655E-6	0.01754601063450464	0.10164519932770714	0.16624525397804316	21.102652646468076	
35	-6275.889311794824	-6331.855193583284	55.96588178845973	-6331.855193583284	1.0905490828973161	3.889235894784611	0.4600118798597281	0.2556114603415108	0.1984720047355167	0.28775547915774274	0.25816105576522985	0.5009038978653566	2.3584613762418387	0.5009038978653566	0.14063472589280376	2.3584613762418387	0.14063472589280376	0.0	0.050583901001427824	0.02476438796964107	1.5835710553323292E-6	0.05177359831520099	0.024235386940986633	0.3936191194838444	-5.676699968586065	
36	-6320.196669446639	-6331.748435319134	11.55176587249477	-6331.748435319134	0.47137443517877486	1.8914842384795483	0.4600118798597281	0.26327709439549324	0.1994037532548298	0.2820567283164652	0.2552624240332118	0.522659122731328	2.375682974876487	0.522659122731328	0.10165790239218415	2.375682974876487	0.10165790239218415	0.0	0.22358236853079916	0.048361615433598	1.0539244026205642E-4	0.22468305273672493	0.04818835038510949	0.2064390802610498	6.05166538189984	
37	-6320.196669446639	-6331.748435319134	11.55176587249477	-6331.748435319134	0.47137443517877486	1.8914842384795483	0.4600118798597281	0.26327709439549324	0.1994037532548298	0.2820567283164652	0.2552624240332118	0.522659122731328	2.375682974876487	0.522659122731328	0.10165790239218415	2.375682974876487	0.10165790239218415	0.0	0.22358236853079916	0.048361615433598	1.0539244026205642E-4	0.22468305273672493	0.04818835038510949	0.2064390802610498	6.05166538189984	
38	-6226.743804214838	-6331.480763616992	104.7369594021534	-6331.480763616992	1.406035470766889	6.004501057051187	0.19381767070704892	0.2553956379596014	0.19018057288100135	0.30327098708158545	0.2511528020778119	0.37337847109923267	2.5009553490065053	0.37337847109923267	0.12566617989426193	2.5009553490065053	0.12566617989426193	0.0	0.014434899582318769	0.014904125041483496	1.7933792466225536E-8	0.008984276708952023	0.01493183246049205	0.9157081757920897	-16.920910834215587	
39	-6283.041605723676	-6331.316305379214	48.274699655538164	-6331.316305379214	0.49369602216055714	2.0169249774637366	0.4600118798597281	0.2608571634520416	0.1984720047355167	0.28775547915774274	0.25291535265469905	0.522659122731328	2.3367061513758673	0.522659122731328	0.14063472589280376	2.3367061513758673	0.14063472589280376	0.0	0.07748095855865585	0.049775916657864315	1.740839513364716E-5	0.08396342979906395	0.0502868136757581	0.19597599730687051	4.391919030972513	
