Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	proportionInvariant	fastUcldMean	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
342	-11258.18526533171	-11475.76912090865	217.58385557694078	-11475.76912090865	155.22513848367353	1022.6298933349556	0.2938128873508347	0.20242915260812971	0.251909156795744	0.2518488032452918	0.15319833349289566	2.285184959845687	0.2678430649702179	0.15319833349289566	2.8727322432280857	0.2678430649702179	0.801	7.288695157976412E-5	3.7275983615340285E-5	7.288661102651374E-5	6.383935186433069E-18	3.4665549008433456E-5	-94.13694791507204	12.610883996821995	46.92894638134083	242.16728831165995	1027.2880752225005	5.673738487805104	4.0	4.0	6.0	1.0	4.0	
343	-11586.907862122931	-11475.66491267705	-111.24294944588031	-11475.66491267705	151.6892358531498	1022.0109503658681	0.2976758504566977	0.19616375994836174	0.2524999936008417	0.253660395994099	0.1279722853046396	2.3498971476790405	0.3378751655070905	0.1279722853046396	2.7184079506974994	0.3378751655070905	0.801	6.509213882090837E-5	0.1738836198199239	6.40004592516758E-5	1.4283058761393034E-10	0.18722922668158853	-102.37507513979563	133.3182727194464	76.05304366716379	214.54907260653408	32.58219291557907	2.9184994162713185	1.0	8.0	6.0	1.0	3.0	
344	-11586.907862122931	-11475.66491267705	-111.24294944588031	-11475.66491267705	151.6892358531498	1022.0109503658681	0.2976758504566977	0.19616375994836174	0.2524999936008417	0.253660395994099	0.1279722853046396	2.3498971476790405	0.3378751655070905	0.1279722853046396	2.7184079506974994	0.3378751655070905	0.801	6.509213882090837E-5	0.1738836198199239	6.40004592516758E-5	1.4283058761393034E-10	0.18722922668158853	-102.37507513979563	133.3182727194464	76.05304366716379	214.54907260653408	32.58219291557907	2.9184994162713185	1.0	8.0	6.0	1.0	3.0	
345	-11586.907862122931	-11475.66491267705	-111.24294944588031	-11475.66491267705	151.6892358531498	1022.0109503658681	0.2976758504566977	0.19616375994836174	0.2524999936008417	0.253660395994099	0.1279722853046396	2.3498971476790405	0.3378751655070905	0.1279722853046396	2.7184079506974994	0.3378751655070905	0.801	6.509213882090837E-5	0.1738836198199239	6.40004592516758E-5	1.4283058761393034E-10	0.18722922668158853	-102.37507513979563	133.3182727194464	76.05304366716379	214.54907260653408	32.58219291557907	2.9184994162713185	1.0	8.0	6.0	1.0	3.0	
346	-11392.261814949874	-11475.60201939492	83.34020444504613	-11475.60201939492	128.34506496795166	832.086820750932	0.3076757159631621	0.20211237905614524	0.24322108985951962	0.24699081512117319	0.08767725904049381	2.3776745553798397	0.4154235825248421	0.08767725904049381	2.6161237614894883	0.4154235825248421	0.801	7.95090022847972E-5	0.001287041345021236	7.952254123717991E-5	9.321058914629774E-15	0.0012142285162777312	-97.37665173509296	29.53479311063341	131.88729209985453	144.58562726778345	266.8460512494769	7.298352035385421	7.0	4.0	2.0	2.0	4.0	
347	-11466.678792321354	-11475.563619084074	8.884826762720072	-11475.563619084074	103.2429923010096	678.813996441859	0.3027782888559807	0.20646641019779907	0.24815311907398135	0.2426021818722391	0.07026140916818643	2.2437186946382615	0.36562073119079663	0.07026140916818643	2.884517024643772	0.36562073119079663	0.801	1.0497237764496613E-4	0.006750452816530812	1.0540349695420479E-4	6.520364965981643E-13	0.007671104617340996	-96.92154781620188	455.3142412248285	74.02413558353034	179.2311714554532	123.52880255991569	0.589202077197952	1.0	9.0	5.0	2.0	2.0	
348	-11466.678792321354	-11475.563619084074	8.884826762720072	-11475.563619084074	103.2429923010096	678.813996441859	0.3027782888559807	0.20646641019779907	0.24815311907398135	0.2426021818722391	0.07026140916818643	2.2437186946382615	0.36562073119079663	0.07026140916818643	2.884517024643772	0.36562073119079663	0.801	1.0497237764496613E-4	0.006750452816530812	1.0540349695420479E-4	6.520364965981643E-13	0.007671104617340996	-96.92154781620188	455.3142412248285	74.02413558353034	179.2311714554532	123.52880255991569	0.589202077197952	1.0	9.0	5.0	2.0	2.0	
349	-11540.691893374391	-11475.517587747303	-65.17430562708842	-11475.517587747303	77.68718431407143	473.5359622752739	0.30025377888555455	0.20245541400860795	0.2534802627624177	0.24381054434342003	0.08938623001826007	2.171602877366698	0.32231125129978094	0.08938623001826007	3.0050021599972205	0.32231125129978094	0.801	1.378343752398717E-4	0.058943497692747704	1.3910400685382613E-4	8.980006498776526E-11	0.06721844434472031	-91.14484894284573	10.193614838715208	47.26484205846786	46.68901071492925	98.03621041132119	26.849150305083977	4.0	1.0	4.0	7.0	3.0	
350	-11342.468552929528	-11475.511542616418	133.0429896868895	-11475.511542616418	163.11536358991742	1053.2779730363009	0.29859865735473956	0.19135158717277267	0.25637968953899837	0.2536700659334896	0.07026140916818643	2.3886696551373485	0.3829831945179744	0.07026140916818643	2.70484113749033	0.3829831945179744	0.801	5.903111439961312E-5	3.203989001827436E-4	5.9039385229358235E-5	2.349495869476042E-16	2.5963578057495225E-4	-104.80999974041828	24.88577108134509	71.7328944889463	179.15802291385802	322.7601517787896	10.42653708145894	1.0	3.0	4.0	7.0	4.0	
351	-11342.468552929528	-11475.511542616418	133.0429896868895	-11475.511542616418	163.11536358991742	1053.2779730363009	0.29859865735473956	0.19135158717277267	0.25637968953899837	0.2536700659334896	0.07026140916818643	2.3886696551373485	0.3829831945179744	0.07026140916818643	2.70484113749033	0.3829831945179744	0.801	5.903111439961312E-5	3.203989001827436E-4	5.9039385229358235E-5	2.349495869476042E-16	2.5963578057495225E-4	-104.80999974041828	24.88577108134509	71.7328944889463	179.15802291385802	322.7601517787896	10.42653708145894	1.0	3.0	4.0	7.0	4.0	
