Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	proportionInvariant	
286	-11603.268256133417	-11477.443832655807	-125.82442347761068	-11477.443832655807	147.4114768949069	959.8115363374524	6.91882215887504E-5	0.31010163927952267	0.199562244583242	0.24583816596770186	0.24449795016953355	0.13520593517504134	2.525623879930272	0.33941352101984806	0.13520593517504134	2.5251372076799514	0.33941352101984806	-102.0596431354361	50.922594496490724	107.20145435394434	291.6852197293524	0.9686535196692857	0.7325127673962356	7.0	2.0	8.0	1.0	1.0	0.7717467572178098	
287	-11603.268256133417	-11477.443832655807	-125.82442347761068	-11477.443832655807	147.4114768949069	959.8115363374524	6.91882215887504E-5	0.31010163927952267	0.199562244583242	0.24583816596770186	0.24449795016953355	0.13520593517504134	2.525623879930272	0.33941352101984806	0.13520593517504134	2.5251372076799514	0.33941352101984806	-102.0596431354361	50.922594496490724	107.20145435394434	291.6852197293524	0.9686535196692857	0.7325127673962356	7.0	2.0	8.0	1.0	1.0	0.7717467572178098	
288	-11603.268256133417	-11477.443832655807	-125.82442347761068	-11477.443832655807	147.4114768949069	959.8115363374524	6.91882215887504E-5	0.31010163927952267	0.199562244583242	0.24583816596770186	0.24449795016953355	0.13520593517504134	2.525623879930272	0.33941352101984806	0.13520593517504134	2.5251372076799514	0.33941352101984806	-102.0596431354361	50.922594496490724	107.20145435394434	291.6852197293524	0.9686535196692857	0.7325127673962356	7.0	2.0	8.0	1.0	1.0	0.7717467572178098	
289	-11596.40267820621	-11477.409062364712	-118.99361584149787	-11477.409062364712	78.89404014821402	508.0029266446054	1.3796413294959482E-4	0.30111480311500977	0.19403009223650175	0.26215991967719177	0.24269518497129683	0.1596270287638521	2.2849570315635668	0.3027802569418249	0.1596270287638521	2.790228397025082	0.3027802569418249	-91.71057686904176	48.8113955544824	76.2390880724029	122.0597747108113	217.60208819224653	8.787460930911886	2.0	3.0	6.0	4.0	4.0	0.7717467572178098	
290	-11596.40267820621	-11477.409062364712	-118.99361584149787	-11477.409062364712	78.89404014821402	508.0029266446054	1.3796413294959482E-4	0.30111480311500977	0.19403009223650175	0.26215991967719177	0.24269518497129683	0.1596270287638521	2.2849570315635668	0.3027802569418249	0.1596270287638521	2.790228397025082	0.3027802569418249	-91.71057686904176	48.8113955544824	76.2390880724029	122.0597747108113	217.60208819224653	8.787460930911886	2.0	3.0	6.0	4.0	4.0	0.7717467572178098	
291	-11607.073346601137	-11477.359578667545	-129.71376793359178	-11477.359578667545	159.35270375086571	1036.3356324409074	6.708508264247382E-5	0.31441615892026026	0.1931250011053082	0.2478448510730053	0.24461398890142644	0.09395762999800891	2.670538501288003	0.3107247844188778	0.09395762999800891	2.520096669878226	0.3107247844188778	-102.25991246183774	43.309667239223415	104.73403055395386	351.0765543615039	34.10391851400945	0.2654991387217937	5.0	7.0	4.0	2.0	1.0	0.7717467572178098	
292	-11630.574842080123	-11477.339167216993	-153.23567486313092	-11477.339167216993	167.71387917625532	1069.7506712297918	6.955896890499274E-5	0.3049503215553091	0.19348999809934314	0.2467309526031065	0.25482872774224125	0.10043257685660324	2.3842143643135882	0.29347814157482294	0.10043257685660324	2.8279641988235618	0.29347814157482294	-119.01389368222294	1934.7320501258648	353.84474922622485	134.76835459849025	272.3943465677737	33.1511964697285	1.0	2.0	3.0	9.0	4.0	0.7717467572178098	
293	-11630.574842080123	-11477.339167216993	-153.23567486313092	-11477.339167216993	167.71387917625532	1069.7506712297918	6.955896890499274E-5	0.3049503215553091	0.19348999809934314	0.2467309526031065	0.25482872774224125	0.10043257685660324	2.3842143643135882	0.29347814157482294	0.10043257685660324	2.8279641988235618	0.29347814157482294	-119.01389368222294	1934.7320501258648	353.84474922622485	134.76835459849025	272.3943465677737	33.1511964697285	1.0	2.0	3.0	9.0	4.0	0.7717467572178098	
294	-11612.22917783053	-11477.285952295071	-134.9432255354586	-11477.285952295071	205.3437832099218	1303.1224562259365	5.4472012673660105E-5	0.3038131043789066	0.1978468033015159	0.25166924059307155	0.2466708517265061	0.1336776427736981	2.4485320667173642	0.2713755494964156	0.1336776427736981	2.7413615487424106	0.2713755494964156	-106.35985159047218	48.29734340689002	190.35397132226666	299.4326430775792	31.3681469133864	25.50139163045363	7.0	1.0	8.0	2.0	1.0	0.7717467572178098	
295	-11612.22917783053	-11477.285952295071	-134.9432255354586	-11477.285952295071	205.3437832099218	1303.1224562259365	5.4472012673660105E-5	0.3038131043789066	0.1978468033015159	0.25166924059307155	0.2466708517265061	0.1336776427736981	2.4485320667173642	0.2713755494964156	0.1336776427736981	2.7413615487424106	0.2713755494964156	-106.35985159047218	48.29734340689002	190.35397132226666	299.4326430775792	31.3681469133864	25.50139163045363	7.0	1.0	8.0	2.0	1.0	0.7717467572178098	
