Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	popSize	CoalescentConstant	mutationRate	
48	-3541.5582035623265	-3435.764247435457	-105.79395612686936	-3435.764247435457	109.65982756436446	551.7153211543076	1.5375636129218707E-4	0.04655154750153954	2.2072997741325855	0.746148678365875	0.04655154750153954	2.2072997741325855	0.746148678365875	0.6448290588346599	78.67330615482206	-101.4286522138002	1.0	
49	-3537.440633406166	-3435.724691265277	-101.71594214088881	-3435.724691265277	93.93041152581264	442.6763687587777	2.271316044363429E-4	0.16192426940786206	2.188366544242396	0.6497091863497422	0.16192426940786206	2.188366544242396	0.6497091863497422	0.6448290588346599	44.30795570280028	-97.92477789299087	1.0	
50	-3532.3654916388587	-3435.6334748684276	-96.73201677043126	-3435.6334748684276	65.24408840916517	333.2717379836686	3.0478175504331087E-4	0.20016829434571068	2.2402638699387807	0.5595678357155086	0.20016829434571068	2.2402638699387807	0.5595678357155086	0.6448290588346599	27.92170689319942	-93.40261235926252	1.0	
51	-3532.3654916388587	-3435.6334748684276	-96.73201677043126	-3435.6334748684276	65.24408840916517	333.2717379836686	3.0478175504331087E-4	0.20016829434571068	2.2402638699387807	0.5595678357155086	0.20016829434571068	2.2402638699387807	0.5595678357155086	0.6448290588346599	27.92170689319942	-93.40261235926252	1.0	
52	-3530.9137570899443	-3435.5876995995277	-95.32605749041639	-3435.5876995995277	64.20914247547341	326.9532803564972	2.8428829705568176E-4	0.12688725034612783	2.400119033496176	0.47299371615769653	0.12688725034612783	2.400119033496176	0.47299371615769653	0.6448290588346599	28.37845620615632	-91.98042721741015	1.0	
53	-3530.9137570899443	-3435.5876995995277	-95.32605749041639	-3435.5876995995277	64.20914247547341	326.9532803564972	2.8428829705568176E-4	0.12688725034612783	2.400119033496176	0.47299371615769653	0.12688725034612783	2.400119033496176	0.47299371615769653	0.6448290588346599	28.37845620615632	-91.98042721741015	1.0	
54	-3530.9137570899443	-3435.5876995995277	-95.32605749041639	-3435.5876995995277	64.20914247547341	326.9532803564972	2.8428829705568176E-4	0.12688725034612783	2.400119033496176	0.47299371615769653	0.12688725034612783	2.400119033496176	0.47299371615769653	0.6448290588346599	28.37845620615632	-91.98042721741015	1.0	
55	-3529.8506107266676	-3435.4688824767823	-94.3817282498853	-3435.4688824767823	72.09736089438718	329.0872573678635	3.0478175504331087E-4	0.22416575017639434	2.216266414108097	0.5595678357155086	0.22416575017639434	2.216266414108097	0.5595678357155086	0.6448290588346599	47.36559359474666	-90.52383215828657	1.0	
56	-3540.2212391548974	-3435.384800243139	-104.83643891175814	-3435.384800243139	91.7394326489555	485.95755614134487	2.271316044363429E-4	0.15275649306535094	2.2651164465426796	0.5821270603919696	0.15275649306535094	2.2651164465426796	0.5821270603919696	0.6448290588346599	68.27411651581181	-100.6129081845654	1.0	
57	-3531.159122817817	-3435.2513751275596	-95.90774769025742	-3435.2513751275596	66.09344081211121	343.72357166258666	2.8428829705568176E-4	0.06557909003661822	2.4614271938056858	0.47299371615769653	0.06557909003661822	2.4614271938056858	0.47299371615769653	0.6448290588346599	48.084442960514544	-92.03478899663519	1.0	
58	-3531.159122817817	-3435.2513751275596	-95.90774769025742	-3435.2513751275596	66.09344081211121	343.72357166258666	2.8428829705568176E-4	0.06557909003661822	2.4614271938056858	0.47299371615769653	0.06557909003661822	2.4614271938056858	0.47299371615769653	0.6448290588346599	48.084442960514544	-92.03478899663519	1.0	
59	-3531.159122817817	-3435.2513751275596	-95.90774769025742	-3435.2513751275596	66.09344081211121	343.72357166258666	2.8428829705568176E-4	0.06557909003661822	2.4614271938056858	0.47299371615769653	0.06557909003661822	2.4614271938056858	0.47299371615769653	0.6448290588346599	48.084442960514544	-92.03478899663519	1.0	
60	-3535.7988126684827	-3435.2501040371194	-100.54870863136321	-3435.2501040371194	94.79462423366833	437.2442020603078	2.453551921694215E-4	0.15275649306535094	2.171219100886951	0.676024406047698	0.15275649306535094	2.171219100886951	0.676024406047698	0.6448290588346599	48.488491490053676	-96.66738215044211	1.0	
61	-3538.679906209901	-3435.1073207459767	-103.57258546392453	-3435.1073207459767	66.05141630626677	379.13714335106096	2.453551921694215E-4	0.15771812520257422	2.171219100886951	0.6710627739104746	0.15771812520257422	2.171219100886951	0.6710627739104746	0.6448290588346599	102.6385366491811	-98.941372000839	1.0	
62	-3538.679906209901	-3435.1073207459767	-103.57258546392453	-3435.1073207459767	66.05141630626677	379.13714335106096	2.453551921694215E-4	0.15771812520257422	2.171219100886951	0.6710627739104746	0.15771812520257422	2.171219100886951	0.6710627739104746	0.6448290588346599	102.6385366491811	-98.941372000839	1.0	
63	-3537.544696949328	-3434.9450220115727	-102.59967493775531	-3434.9450220115727	88.08345126879699	428.8681724998002	2.271316044363429E-4	0.13134141676885333	2.2865315228391774	0.5821270603919696	0.13134141676885333	2.2865315228391774	0.5821270603919696	0.6448290588346599	90.49476054443414	-98.09438298326202	1.0	
64	-3536.9788059502516	-3434.9401991238574	-102.03860682639412	-3434.9401991238574	99.04235332801404	477.1775881691812	1.921534089610668E-4	0.18731233372553163	2.3435461230405297	0.4691415432339386	0.18731233372553163	2.3435461230405297	0.4691415432339386	0.6448290588346599	50.540580792446015	-98.11583023276195	1.0	
65	-3533.8148344994297	-3434.9155952127326	-98.89923928669737	-3434.9155952127326	74.22961523388707	356.34498486434046	3.1557630339806576E-4	0.13962315422686977	2.2072997741325855	0.6530770716405447	0.13962315422686977	2.2072997741325855	0.6530770716405447	0.6448290588346599	33.6441588091261	-95.38339983232756	1.0	
66	-3533.8148344994297	-3434.9155952127326	-98.89923928669737	-3434.9155952127326	74.22961523388707	356.34498486434046	3.1557630339806576E-4	0.13962315422686977	2.2072997741325855	0.6530770716405447	0.13962315422686977	2.2072997741325855	0.6530770716405447	0.6448290588346599	33.6441588091261	-95.38339983232756	1.0	
