Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
30	-6470.027465254681	-6342.245756125083	-127.78170912959823	-6342.245756125083	96.67957138196671	346.48257889316903	0.20569559553945493	0.2805827474547216	0.18894910706718906	0.28126688125534416	0.24920126422274477	0.29893800525461195	2.554855597879455	0.29893800525461195	0.1462063968659333	2.554855597879455	0.1462063968659333	0.0	3.3925404918925574E-4	-86.21690166257264	41.325236165293596	33.568998735299445	34.57032467248586	60.44895924958977	9.576329974477952	1.0	2.0	9.0	4.0	3.0	
31	-6452.219852931798	-6342.180810562724	-110.03904236907427	-6342.180810562724	64.11067045221024	252.24686157481312	0.27350889862219685	0.27857775220058156	0.1822231296236959	0.275098414596536	0.26410070357918614	0.322225890626362	2.5709309692540545	0.322225890626362	0.10684314011958468	2.5709309692540545	0.10684314011958468	0.0	4.201285202527934E-4	-74.73615574278044	5.922535650865458	4.8520998287640715	7.323050756102523	20.346839797755344	36.104530663307926	2.0	2.0	2.0	7.0	6.0	
32	-6452.219852931798	-6342.180810562724	-110.03904236907427	-6342.180810562724	64.11067045221024	252.24686157481312	0.27350889862219685	0.27857775220058156	0.1822231296236959	0.275098414596536	0.26410070357918614	0.322225890626362	2.5709309692540545	0.322225890626362	0.10684314011958468	2.5709309692540545	0.10684314011958468	0.0	4.201285202527934E-4	-74.73615574278044	5.922535650865458	4.8520998287640715	7.323050756102523	20.346839797755344	36.104530663307926	2.0	2.0	2.0	7.0	6.0	
33	-6460.318758440827	-6342.120538357579	-118.19822008324817	-6342.120538357579	88.32491816603974	323.0144263173903	0.1385632464423524	0.2564934963415826	0.18940604164055677	0.30242152548793794	0.2516789365299223	0.32710080982752393	2.4802508401401426	0.32710080982752393	0.19264835003233438	2.4802508401401426	0.19264835003233438	0.0	3.3925404918925574E-4	-78.74803825510233	6.35687847430821	5.633823273972152	11.90632766407823	56.837352575259395	33.22335134361595	4.0	1.0	2.0	1.0	11.0	
34	-6469.403872618398	-6341.877499785662	-127.52637283273641	-6341.877499785662	82.36777457228952	299.73496749060524	0.3062861457111235	0.27379664203217086	0.20346464766801062	0.2735374460770733	0.24920126422274477	0.4031956085364186	2.3954541350954055	0.4031956085364186	0.20135025636817633	2.3954541350954055	0.20135025636817633	0.0	3.3925404918925574E-4	-81.70278346208984	60.015564592438416	8.235635546417258	39.334665795757765	90.06096922080829	75.23855208153729	3.0	4.0	10.0	1.0	1.0	
35	-6462.969888314873	-6341.7310752378235	-121.2388130770494	-6341.7310752378235	69.65848813617328	272.64096836491547	0.20569559553945493	0.2805827474547216	0.18894910706718906	0.28126688125534416	0.24920126422274477	0.35556902445879296	2.5280886627899846	0.35556902445879296	0.11634231275122328	2.5280886627899846	0.11634231275122328	0.0	3.3925404918925574E-4	-79.90850174517706	10.55349465368008	14.40251921103126	34.819505412114424	66.08007183130803	86.86386128291707	4.0	2.0	4.0	4.0	5.0	
36	-6462.969888314873	-6341.7310752378235	-121.2388130770494	-6341.7310752378235	69.65848813617328	272.64096836491547	0.20569559553945493	0.2805827474547216	0.18894910706718906	0.28126688125534416	0.24920126422274477	0.35556902445879296	2.5280886627899846	0.35556902445879296	0.11634231275122328	2.5280886627899846	0.11634231275122328	0.0	3.3925404918925574E-4	-79.90850174517706	10.55349465368008	14.40251921103126	34.819505412114424	66.08007183130803	86.86386128291707	4.0	2.0	4.0	4.0	5.0	
37	-6459.9929510015945	-6341.642420105419	-118.35053089617563	-6341.642420105419	74.9077136637766	284.0733488414578	0.6050142157470932	0.2631122621194808	0.1926970400283174	0.27553575383052137	0.2686549440216801	0.3578908167346516	2.519418051679052	0.3578908167346516	0.1226911315862971	2.519418051679052	0.1226911315862971	0.0	3.37474645522178E-4	-78.15733286682347	3.1620589119638676	12.818855468932433	32.28975665060786	40.031836890288766	28.987501623906642	3.0	4.0	5.0	2.0	5.0	
38	-6466.940725302719	-6341.525750303572	-125.41497499914749	-6341.525750303572	98.22646272104298	360.5647069024656	0.3275793188927353	0.2631122621194808	0.1926970400283174	0.27553575383052137	0.2686549440216801	0.3627206957468902	2.5145881726668136	0.3627206957468902	0.1226911315862971	2.5145881726668136	0.1226911315862971	0.0	3.080611443013488E-4	-82.5311153608188	11.305693894749922	11.349343078656382	68.36012359097047	41.13231058929618	9.710500583524661	2.0	5.0	3.0	6.0	3.0	
39	-6466.940725302719	-6341.525750303572	-125.41497499914749	-6341.525750303572	98.22646272104298	360.5647069024656	0.3275793188927353	0.2631122621194808	0.1926970400283174	0.27553575383052137	0.2686549440216801	0.3627206957468902	2.5145881726668136	0.3627206957468902	0.1226911315862971	2.5145881726668136	0.1226911315862971	0.0	3.080611443013488E-4	-82.5311153608188	11.305693894749922	11.349343078656382	68.36012359097047	41.13231058929618	9.710500583524661	2.0	5.0	3.0	6.0	3.0	
