Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	fastUcldStdev	fastRatesStat.mean	fastRatesStat.variance	fastRatesStat.coefficientOfVariation	fastUcldMean	popSize	CoalescentConstant	
248	-3524.6793954875393	-3435.1137536391093	-89.56564184842982	-3435.1137536391093	79.32955377948562	359.7494362045822	0.14610646360680432	2.3746844249694545	0.47920911142374056	0.14610646360680432	2.3746844249694545	0.47920911142374056	0.6343775987370216	0.24739480073766132	2.773387062272487E-4	5.186599030708215E-9	0.2554664928434499	2.7975642786687586E-4	37.354387918151815	-92.12319475622724	
249	-3524.6793954875393	-3435.1137536391093	-89.56564184842982	-3435.1137536391093	79.32955377948562	359.7494362045822	0.14610646360680432	2.3746844249694545	0.47920911142374056	0.14610646360680432	2.3746844249694545	0.47920911142374056	0.6343775987370216	0.24739480073766132	2.773387062272487E-4	5.186599030708215E-9	0.2554664928434499	2.7975642786687586E-4	37.354387918151815	-92.12319475622724	
250	-3511.1134204766477	-3435.0941919293314	-76.01922854731627	-3435.0941919293314	69.49333167903131	339.9109576668647	0.12798494403059502	2.4462669137893407	0.42574814218006385	0.12798494403059502	2.4462669137893407	0.42574814218006385	0.6343775987370216	0.16082669907580896	2.852917029743678E-4	1.9340794275035215E-9	0.15956576603454597	2.652004239160283E-4	38.40756968509188	-92.28458696311523	
251	-3493.4825353540396	-3435.0909951240697	-58.39154022996969	-3435.0909951240697	93.93263168198919	453.0616489293962	0.12616985671640818	2.30067169192163	0.5731584513619613	0.12616985671640818	2.30067169192163	0.5731584513619613	0.6343775987370216	0.07749951080856678	2.4940064794987853E-4	4.336025209465186E-10	0.08822233245578916	2.3624198279283192E-4	47.58679897005668	-98.67364146275163	
252	-3493.4825353540396	-3435.0909951240697	-58.39154022996969	-3435.0909951240697	93.93263168198919	453.0616489293962	0.12616985671640818	2.30067169192163	0.5731584513619613	0.12616985671640818	2.30067169192163	0.5731584513619613	0.6343775987370216	0.07749951080856678	2.4940064794987853E-4	4.336025209465186E-10	0.08822233245578916	2.3624198279283192E-4	47.58679897005668	-98.67364146275163	
253	-3493.4825353540396	-3435.0909951240697	-58.39154022996969	-3435.0909951240697	93.93263168198919	453.0616489293962	0.12616985671640818	2.30067169192163	0.5731584513619613	0.12616985671640818	2.30067169192163	0.5731584513619613	0.6343775987370216	0.07749951080856678	2.4940064794987853E-4	4.336025209465186E-10	0.08822233245578916	2.3624198279283192E-4	47.58679897005668	-98.67364146275163	
254	-3493.4825353540396	-3435.0909951240697	-58.39154022996969	-3435.0909951240697	93.93263168198919	453.0616489293962	0.12616985671640818	2.30067169192163	0.5731584513619613	0.12616985671640818	2.30067169192163	0.5731584513619613	0.6343775987370216	0.07749951080856678	2.4940064794987853E-4	4.336025209465186E-10	0.08822233245578916	2.3624198279283192E-4	47.58679897005668	-98.67364146275163	
255	-3528.5512097637848	-3435.0782775335647	-93.47293223021998	-3435.0782775335647	59.75647829459065	397.1093057030655	0.19794873331204443	2.468020272997207	0.3340309936907481	0.19794873331204443	2.468020272997207	0.3340309936907481	0.6607192862527387	0.22697843727664502	2.286282880243955E-4	2.586107653173949E-9	0.2201454165588239	2.3392444634643902E-4	89.52791928018027	-99.79033289223214	
256	-3538.216590871494	-3435.0688403719714	-103.14775049952266	-3435.0688403719714	54.56132437164693	228.9537028722184	0.128500792740046	2.3390298905076303	0.5324693167523228	0.128500792740046	2.3390298905076303	0.5324693167523228	0.7324695937213953	0.399430717400111	4.73628539504271E-4	5.473848043953472E-8	0.4249242887793968	5.262524385222675E-4	30.20568581330964	-81.3928460504511	
257	-3515.0573990114626	-3435.063467401273	-79.99393161018975	-3435.063467401273	45.48690411367501	186.78047341353385	0.2345875538113748	2.310018401991783	0.4553940441968417	0.2345875538113748	2.310018401991783	0.4553940441968417	0.7450274492685461	0.30256118576581975	6.377013681856729E-4	3.108799107224684E-8	0.28599033886212705	6.316387792023022E-4	28.212089493710934	-77.06040118804965	
