Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	proportionInvariant	mutationRate	popSize	CoalescentConstant	gammaShape	
228	-6438.80414502458	-6328.489130510814	-110.31501451376595	-6328.489130510814	219.77498231806112	829.4994475157073	1.3101977149169284E-4	0.26633512315803387	0.18948301375306684	0.26485641648217084	0.27932544660672853	0.42567231612510464	2.4315388983938484	0.42567231612510464	0.14278878548104695	2.4315388983938484	0.14278878548104695	0.0	0.8173412849605229	87.52493954991853	-105.57972318287852	0.26336755470766593	
229	-6438.80414502458	-6328.489130510814	-110.31501451376595	-6328.489130510814	219.77498231806112	829.4994475157073	1.3101977149169284E-4	0.26633512315803387	0.18948301375306684	0.26485641648217084	0.27932544660672853	0.42567231612510464	2.4315388983938484	0.42567231612510464	0.14278878548104695	2.4315388983938484	0.14278878548104695	0.0	0.8173412849605229	87.52493954991853	-105.57972318287852	0.26336755470766593	
230	-6439.924842717593	-6328.452885082011	-111.47195763558203	-6328.452885082011	246.89867602924843	893.5612676058736	1.3634832656296678E-4	0.2703012767530717	0.20125721507449376	0.2853943415512539	0.24304716662118087	0.41908483041874084	2.496603137208221	0.41908483041874084	0.08431203237303693	2.496603137208221	0.08431203237303693	0.0	0.8173412849605229	82.63886055971392	-106.90242368283867	0.1550539160266143	
231	-6439.924842717593	-6328.452885082011	-111.47195763558203	-6328.452885082011	246.89867602924843	893.5612676058736	1.3634832656296678E-4	0.2703012767530717	0.20125721507449376	0.2853943415512539	0.24304716662118087	0.41908483041874084	2.496603137208221	0.41908483041874084	0.08431203237303693	2.496603137208221	0.08431203237303693	0.0	0.8173412849605229	82.63886055971392	-106.90242368283867	0.1550539160266143	
232	-6441.257301946009	-6328.412744874676	-112.84455707133283	-6328.412744874676	248.3379136451367	915.0124864217628	1.3101977149169284E-4	0.260738262100525	0.18948301375306684	0.27105524018936505	0.2787234839570432	0.42567231612510464	2.4264321801859796	0.42567231612510464	0.1478955036889159	2.4264321801859796	0.1478955036889159	0.0	0.8173412849605229	68.50492723127529	-108.35428384356027	0.26336755470766593	
233	-6445.95099633612	-6328.402166382607	-117.54882995351252	-6328.402166382607	261.70540337923046	1046.98347184868	1.228787780466177E-4	0.2638008653610684	0.20331074052885675	0.26957986608304385	0.26330852802703114	0.3295355617627499	2.571042811369878	0.3295355617627499	0.09942162686737109	2.571042811369878	0.09942162686737109	0.0	0.8173412849605229	158.77190541177748	-112.2566507428988	0.22471059551439607	
234	-6445.95099633612	-6328.402166382607	-117.54882995351252	-6328.402166382607	261.70540337923046	1046.98347184868	1.228787780466177E-4	0.2638008653610684	0.20331074052885675	0.26957986608304385	0.26330852802703114	0.3295355617627499	2.571042811369878	0.3295355617627499	0.09942162686737109	2.571042811369878	0.09942162686737109	0.0	0.8173412849605229	158.77190541177748	-112.2566507428988	0.22471059551439607	
235	-6445.28942075634	-6328.3539830637455	-116.93543769259516	-6328.3539830637455	263.12120184475583	1042.0964709443967	1.0906808935065796E-4	0.2609316866732581	0.1993099178595601	0.2806215190833261	0.25913687638385585	0.40772702720048537	2.5372215474307946	0.40772702720048537	0.05505142536871809	2.5372215474307946	0.05505142536871809	0.0	0.8173412849605229	145.7550982800358	-111.68866937706828	0.2648405112851514	
236	-6444.792534951801	-6328.35351602532	-116.4390189264815	-6328.35351602532	237.03428474434784	961.1667239641927	1.228787780466177E-4	0.2562925588824517	0.19351958039978998	0.2794363882438755	0.2707514724738829	0.4175145292460858	2.5025311278593256	0.4175145292460858	0.07995434289458704	2.5025311278593256	0.07995434289458704	0.0	0.8372309288780795	158.6372292471897	-111.17888435016921	0.19351455791646946	
237	-6444.792534951801	-6328.35351602532	-116.4390189264815	-6328.35351602532	237.03428474434784	961.1667239641927	1.228787780466177E-4	0.2562925588824517	0.19351958039978998	0.2794363882438755	0.2707514724738829	0.4175145292460858	2.5025311278593256	0.4175145292460858	0.07995434289458704	2.5025311278593256	0.07995434289458704	0.0	0.8372309288780795	158.6372292471897	-111.17888435016921	0.19351455791646946	
238	-6444.792534951801	-6328.35351602532	-116.4390189264815	-6328.35351602532	237.03428474434784	961.1667239641927	1.228787780466177E-4	0.2562925588824517	0.19351958039978998	0.2794363882438755	0.2707514724738829	0.4175145292460858	2.5025311278593256	0.4175145292460858	0.07995434289458704	2.5025311278593256	0.07995434289458704	0.0	0.8372309288780795	158.6372292471897	-111.17888435016921	0.19351455791646946	
239	-6444.792534951801	-6328.35351602532	-116.4390189264815	-6328.35351602532	237.03428474434784	961.1667239641927	1.228787780466177E-4	0.2562925588824517	0.19351958039978998	0.2794363882438755	0.2707514724738829	0.4175145292460858	2.5025311278593256	0.4175145292460858	0.07995434289458704	2.5025311278593256	0.07995434289458704	0.0	0.8372309288780795	158.6372292471897	-111.17888435016921	0.19351455791646946	
