Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	proportionInvariant	mutationRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
329	-3542.2310776736067	-3427.3279344051302	-114.90314326847665	-3427.3279344051302	99.94982426236837	467.57960150280115	2.4061378589306933E-4	0.04505021864501196	2.360763235205694	0.5941865461492941	0.04505021864501196	2.360763235205694	0.5941865461492941	0.7080927004716042	0.9723712225855506	-91.96793109010605	19.117157921046395	24.185542805487497	72.61188516090984	67.45503618657312	12.366177191482366	3.0	1.0	1.0	12.0	2.0	
330	-3534.463123695032	-3427.3093033239725	-107.15382037105977	-3427.3093033239725	93.2363126510079	436.1490269757507	2.58545660688165E-4	0.1634059567035203	2.2290829969673096	0.6075110463291705	0.1634059567035203	2.2290829969673096	0.6075110463291705	0.7080927004716042	0.7893090349483548	-82.83522459445689	3.7840485937244464	9.038909704681318	40.97378069676342	127.24478803097846	140.70359971096235	7.0	2.0	1.0	8.0	1.0	
331	-3534.463123695032	-3427.3093033239725	-107.15382037105977	-3427.3093033239725	93.2363126510079	436.1490269757507	2.58545660688165E-4	0.1634059567035203	2.2290829969673096	0.6075110463291705	0.1634059567035203	2.2290829969673096	0.6075110463291705	0.7080927004716042	0.7893090349483548	-82.83522459445689	3.7840485937244464	9.038909704681318	40.97378069676342	127.24478803097846	140.70359971096235	7.0	2.0	1.0	8.0	1.0	
332	-3528.659235759785	-3427.2668326713006	-101.39240308848444	-3427.2668326713006	82.2116989196854	360.4177834317146	2.666065784826616E-4	0.08659039971173038	2.4037288316659566	0.509680768622313	0.08659039971173038	2.4037288316659566	0.509680768622313	0.7080927004716042	0.9608664085348095	-77.12596511823271	5.638488134010092	35.640155998867456	50.25345657214544	41.68175155462825	44.440466824685295	8.0	1.0	1.0	3.0	6.0	
333	-3544.3348967334705	-3427.257000418522	-117.07789631494857	-3427.257000418522	149.25629714382507	645.9852137955722	1.7235567997372683E-4	0.08795863728311624	2.4023605940945707	0.509680768622313	0.08795863728311624	2.4023605940945707	0.509680768622313	0.7080927004716042	0.9608664085348095	-90.75267802783856	15.002167550998939	67.27299484421009	105.5274535601686	87.7408231877058	63.376761634689586	7.0	4.0	5.0	1.0	2.0	
334	-3544.3348967334705	-3427.257000418522	-117.07789631494857	-3427.257000418522	149.25629714382507	645.9852137955722	1.7235567997372683E-4	0.08795863728311624	2.4023605940945707	0.509680768622313	0.08795863728311624	2.4023605940945707	0.509680768622313	0.7080927004716042	0.9608664085348095	-90.75267802783856	15.002167550998939	67.27299484421009	105.5274535601686	87.7408231877058	63.376761634689586	7.0	4.0	5.0	1.0	2.0	
335	-3517.3462557481434	-3427.2554496459234	-90.09080610222013	-3427.2554496459234	53.930394130301465	263.73290539864985	7.410796882192957E-4	0.15080577450639523	2.3182456054178893	0.5309486200757144	0.15080577450639523	2.3182456054178893	0.5309486200757144	0.7080927004716042	0.5758376861013201	-68.7841219879588	2.926450742325242	12.176840602132216	50.68263416742927	0.9333351725866589	4.6791034153225235	5.0	3.0	9.0	1.0	1.0	
336	-3517.3462557481434	-3427.2554496459234	-90.09080610222013	-3427.2554496459234	53.930394130301465	263.73290539864985	7.410796882192957E-4	0.15080577450639523	2.3182456054178893	0.5309486200757144	0.15080577450639523	2.3182456054178893	0.5309486200757144	0.7080927004716042	0.5758376861013201	-68.7841219879588	2.926450742325242	12.176840602132216	50.68263416742927	0.9333351725866589	4.6791034153225235	5.0	3.0	9.0	1.0	1.0	
337	-3517.3462557481434	-3427.2554496459234	-90.09080610222013	-3427.2554496459234	53.930394130301465	263.73290539864985	7.410796882192957E-4	0.15080577450639523	2.3182456054178893	0.5309486200757144	0.15080577450639523	2.3182456054178893	0.5309486200757144	0.7080927004716042	0.5758376861013201	-68.7841219879588	2.926450742325242	12.176840602132216	50.68263416742927	0.9333351725866589	4.6791034153225235	5.0	3.0	9.0	1.0	1.0	
338	-3549.7983953723947	-3427.2554186123125	-122.54297676008237	-3427.2554186123125	96.95887433423509	508.60542786353335	1.8578871171400649E-4	0.10634569092405778	2.4732823651178517	0.42037194395808997	0.10634569092405778	2.4732823651178517	0.42037194395808997	0.7080927004716042	1.0401057309927553	-96.27328441582318	28.876192496775545	84.71418447436162	135.46313097261674	81.49986789326825	50.63979039947983	5.0	6.0	3.0	3.0	2.0	
