#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	NSlikelihood	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
30	-5526.251751651436	0:1.1802907506548628	0.2407994796218329	0.2817465312275633	1.3942353193588826	2.0508810192230804	4.012919590975608	4.049205375584846:0.936004951266953	4.529440912023869	5.179887805914868	5.412153889649922	6.121516872160809	6.208179030819103	6.8001931323908265	8.148432350062905	9.693672624529377	10.09103245712232:2.5558326211403015	11.216339709792173:0.5387250728968084	11.488371937707885	14.270190998027525	14.323930503708102
31	-5490.592733723686	0:0.6982176090972222	0.1121079902566553	1.170180238031426	1.3882985675659256	1.8308347871794748	4.105667955109871	4.174862141569424	4.211232501574017	5.287067634161687	5.303976162809104	5.521079048639084	6.013804181081227	6.1515165523058375	6.198667803510817	10.094564766151638	11.164620427105287	11.28034456068459	11.683244096543577	14.117765261834919	14.447288468967983
32	-5487.108804622386	0:1.57404976331069	0.2015451629846403	1.579442937010862	1.8081832129493662	2.5458579102906675	3.069025893829542	4.001489745732366	4.728501847066598	5.314339445215159	5.811310177455095	6.097152699746408	6.135890860158101	7.077432568383132	7.906062562910139	8.428857169711359	11.039768990964111	11.31366151164228	13.758165865665392	14.132650818053095	14.572641274714796
33	-5478.64058773321	0:2.249902447343469	1.4469247577547044	1.695148741838608	2.1430143523252134	2.9787973339859537	4.089180107118295	4.205720106170396	4.244689712199305	5.16108491023428	5.622315278162569	6.094824699479155:1.006198541756972	6.209363115814224	6.34613352282085	6.618281180378499	8.509278098804977	10.418968822456694	11.157592692688265	11.304993946650594	14.482977087835096	16.327815975765038
34	-5374.880050761256	0:3.5763795389194453	0.00247670481775053	0.9974680803321725	1.151300150128744	1.791171583097098	2.0899171746108607	4.130471354605579	4.370884292686879	4.730194320585024	6.03725723071339	6.058376034789573	6.531051526252078	7.077383269929221	8.06880330843754	10.563311057313703	11.452441050705852	12.767091704479093	14.155128408165178	14.244201101868851	15.708925937477733
35	-5354.469795175081	0:2.758370204683823	1.1498318425570861	1.6629522767033862	1.9031938818270415	2.8033432428646083	3.1354323445905408	4.407208705699436	4.842739828428437	5.1924897055988595	5.698275664705889	6.1012948243723795	6.147985977187648	6.377104433679925:0.8244145428172828	7.284581540088656	8.397040234846989	10.258030047364075:1.7314238652602358	11.244777796017424:0.3498485050667426	11.246607998323357	14.19581693999272	14.703024591664935
36	-5348.39102824129	0:1.0797305345881856	0.05455480262594037	1.255712821783403	1.4860326155341266	2.1035983092159682	2.761955256365752	4.22968527446006	4.285948683098869	5.164184059949836	5.326635776464675	6.3095168801102375	6.397636635117475	6.898966157003787	7.450752706321192	8.618437791248965	10.862706126618038	11.018293940181593	12.364871680017846	14.015856031150925	14.843871135786443
37	-5318.874805786265	0:0.608305621898866	0.39706483851752417	0.5381607230743803	1.1157443115196948	1.4092878087973304	2.2155375605623853	4.177056569822932	4.487388707385824	5.034655800505087	5.300001806695954	6.070738729275016	6.253843023801764	7.814980182926011	8.209511621431385	9.602526959774798	11.58830966663128:2.4137701704216434	11.882289516794442	14.044026127277254	14.343785733600292	14.719048302265856:3.5467087889361024
38	-5315.919652856097	0:1.1495343756106084	0.1820062323862608	1.990337762916738	2.0950362091658334	2.2166933463709633	3.062454040361237	4.050646886360912	4.747778000918274	4.90863181245051	6.083524288891731	6.185521508074412	6.835326453388527	7.26540480232191	8.134862040997383	8.464541626686543	10.10748503570168	11.184775681423375	12.532562921619082	14.281695403829172	14.509255571436412
39	-5308.567755684531	0:0.777675155590573	0.12484767117018336	0.3462313695836787	1.1396658934283792	2.0126952926631834	2.024633589374904	4.112716254689882	4.45926233462724	4.977138543878855	5.125834422080475	5.947693834380976	6.389230304973118	6.661804056010681	7.761453277671519	10.097691483376115	11.43488706012149:2.670021860453426	12.520940657830177	14.828208948588511	15.523870903147747	16.228220432378926
